be|UCLouvain (Université catholique de Louvain)|e|d9f541f2-f1a1-ed11-aad1-000d3a85c377|Université Catholique de Louvain (UCLouvain)|1000|92|YNY|uclouvain.be
be|University of Liège|e|a0b13072-f0a1-ed11-aad1-000d3a85c377|Université de Liège (University of Liège)|1000|25|YNY|uliege.be
be|Vesalius College|r|a5b13072-f0a1-ed11-aad1-000d3a85c377|Brussels School of Governance / Vesalius College|1100|114|YYY|brussels-school.be
be|Karel de Grote University of Applied Sciences and Arts|r|014f1d16-f2a1-ed11-aad1-000d3a85c377|Karel de Grote-Hogeschool Antwerpen (KdG University of Applied Sciences and Arts)|1001|27|YNY|kdg.be
be|Thomas More University of Applied Sciences|e|6f772869-f3a1-ed11-aad1-000d3a85c377|Thomas More University of Applied Sciences|1001|31|YNY|thomasmore.be
be|Howest University of Applied Sciences|e|cfdcc6b8-f2a1-ed11-aad1-000d3a85c377|Howest Hogeschool (Howest University of Applied Sciences)|1001|103|YNY|howest.be
ca|University of Toronto|e|43fe2878-f0a1-ed11-aad1-000d3a85c377|University of Toronto|1110|17126|YYY|utoronto.ca
ca|University of British Columbia|m|f5b23072-f0a1-ed11-aad1-000d3a85c377|University of British Columbia|1110|11611|YYY|ubc.ca
ca|McGill University|e|38b23072-f0a1-ed11-aad1-000d3a85c377|McGill University|1111|5049|YYY|mcgill.ca
ca|University of Waterloo|e|7dfe2878-f0a1-ed11-aad1-000d3a85c377|University of Waterloo|1110|4801|YYN|uwaterloo.ca
ca|Queen's University at Kingston|r|55b23072-f0a1-ed11-aad1-000d3a85c377|Queen's University|1110|2689|YYN|queensu.ca
ca|McMaster University|e|37b23072-f0a1-ed11-aad1-000d3a85c377|McMaster University|1110|2944|YYN|future.mcmaster.ca
ca|Western University|e|63fe2878-f0a1-ed11-aad1-000d3a85c377|University of Western Ontario (Western University)|1010|3256|YNY|welcome.uwo.ca
ca|University of Alberta|e|e8b23072-f0a1-ed11-aad1-000d3a85c377|University of Alberta|1110|4313|YYY|ualberta.ca
ca|University of Calgary|e|fab23072-f0a1-ed11-aad1-000d3a85c377|University of Calgary|1111|2398|YYY|ucalgary.ca
ca|Simon Fraser University|e|8db23072-f0a1-ed11-aad1-000d3a85c377|Simon Fraser University|1110|2516|YYY|sfu.ca
ca|University of Victoria|e|60fe2878-f0a1-ed11-aad1-000d3a85c377|University of Victoria|1010|1091|YNY|uvic.ca
ca|Dalhousie University|e|211b514f-f1a1-ed11-aad1-000d3a85c377|Dalhousie University|1111|1238|YYY|dal.ca
ca|University of Ottawa|e|1afe2878-f0a1-ed11-aad1-000d3a85c377|University of Ottawa|1011|1554|YNY|uottawa.ca
ca|Concordia University|e|0fb23072-f0a1-ed11-aad1-000d3a85c377|Concordia University - Montréal|1111|1571|YYY|concordia.ca
ch|ETH Zurich|e|1b9a1984-f0a1-ed11-aad1-000d3a85c377|ETH Zürich|1000|341|YNN|ethz.ch
ch|EPFL - Ecole polytechnique federale de Lausanne|e|1a9a1984-f0a1-ed11-aad1-000d3a85c377|EPFL Federal Institute of Technology in Lausanne (École Polytechnique Fédérale de Lausanne)|1000|538|Y--|epfl.ch
ch|University of Zurich|e|509a1984-f0a1-ed11-aad1-000d3a85c377|University of Zurich (Universität Zürich)|1000|386|Y--|uzh.ch
ch|University of Geneva|e|714e1d16-f2a1-ed11-aad1-000d3a85c377|University of Geneva (Université de Genève)|1000|416|Y--|unige.ch
ch|University of Basel|e|359a1984-f0a1-ed11-aad1-000d3a85c377|Universitat Basel (University of Basel)|1000|96|Y--|unibas.ch
ch|University of Bern|m|399a1984-f0a1-ed11-aad1-000d3a85c377|University of Bern (Universität Bern)|1000|80|Y--|unibe.ch
ch|University of Lausanne|e|569a1984-f0a1-ed11-aad1-000d3a85c377|University of Lausanne (Université de Lausanne)|1000|236|Y--|unil.ch
ch|University of St. Gallen|e|4c9a1984-f0a1-ed11-aad1-000d3a85c377|University of St.Gallen (Universität St.Gallen)|1000|367|YNN|unisg.ch
ch|Franklin University Switzerland|e|2e9a1984-f0a1-ed11-aad1-000d3a85c377|Franklin University - Switzerland|1111|103|YYY|fus.edu
ch|EHL Hospitality Business School|e|c5143767-f1a1-ed11-aad1-000d3a85c377|EHL Hospitality Business School (all campuses)|1001|898|YNY|ehl.edu
ch|University of Lucerne|e|13aa49ec-f1a1-ed11-aad1-000d3a85c377|University of Lucerne (Universitat Luzern)|1000|17|Y--|unilu.ch
ch|Webster University Geneva|e|f408f5a7-f0a1-ed11-aad1-000d3a85c377|Webster University - Geneva|1111|95|YYY|webster.ch
cn|Tsinghua University|e|aca42f04-f2a1-ed11-aad1-000d3a85c377|Tsinghua University|1000|156|YNY|tsinghua.edu.cn
cn|Peking University|e|b05437fe-f1a1-ed11-aad1-000d3a85c377|Peking University|1000|119|Y--|isd.pku.edu.cn
cn|Fudan University|e|fd522a0a-f2a1-ed11-aad1-000d3a85c377|Fudan University|1100|62|YYN|iso.fudan.edu.cn
cn|Shanghai Jiao Tong University|e|940adf9a-f2a1-ed11-aad1-000d3a85c377|Shanghai Jiao Tong University|1000|32|Y--|isc.sjtu.edu.cn
cn|NYU Shanghai|r|d1dbc6b8-f2a1-ed11-aad1-000d3a85c377|New York University - Shanghai|1101|156|YYN|shanghai.nyu.edu
cn|Duke Kunshan University|e|1a56a6de-f3a1-ed11-aad1-000d3a85c377|Duke Kunshan University|1000|104|Y--|admissions.dukekunshan.edu.cn
cn|Xi'an Jiaotong-Liverpool University|e|a342d6ac-f2a1-ed11-aad1-000d3a85c377|Xi'an Jiaotong-Liverpool University|1111|234|YYY|xjtlu.edu.cn
cn|University of Nottingham Ningbo China|r|424f1d16-f2a1-ed11-aad1-000d3a85c377|University of Nottingham - Ningbo|1000|143|Y--|nottinhgm.edu.con
cn|The Chinese University of Hong Kong, Shenzhen|e|11a59ee4-f3a1-ed11-aad1-000d3a85c377|The Chinese University of Hong Kong, Shenzhen|1000|118|YNY|cuhk.edu.cn
cn|Beijing Normal-Hong Kong Baptist University|m|a35ce494-f2a1-ed11-aad1-000d3a85c377|Beijing Normal University-Hong Kong Baptist University United International College|1100|10|YYY|uic.edu.cn
cn|Zhejiang University|e|1a6e6314-f4a1-ed11-aad1-000d3a85c377|Zhejiang University|1000|72|Y--|iczu.zju.edu.cn
cz|Charles University|r|50b7efad-f0a1-ed11-aad1-000d3a85c377|Charles University in Prague (Univerzita Karlova)|1101|620|YYY|studycharles.cz
cz|Masaryk University|e|8efe171c-f2a1-ed11-aad1-000d3a85c377|Masaryk University|1000|113|Y--|muni.cz
cz|Czech Technical University in Prague|e|075ce494-f2a1-ed11-aad1-000d3a85c377|Czech Technical University in Prague - CTU (České Vysoké Učení Technické v Praze)|1000|88|YNN|cvut.cz
cz|University of Chemistry and Technology, Prague|e|ff073ff8-f1a1-ed11-aad1-000d3a85c377|University of Chemistry and Technology Prague (Vysoká škola chemicko-technologická v Praze)|1000|39|YNN|vscht.cz
cz|Anglo-American University|e|00673c61-f1a1-ed11-aad1-000d3a85c377|Anglo-American University|1000|82|YNY|aauni.edu
de|Technical University of Munich|e|aa4b88c3-9abe-ed11-83fe-6045bd55e414|Technische Universität München (Technical University of Munich)|1000|1|YN-|tum.de
de|RWTH Aachen University|e|55163767-f1a1-ed11-aad1-000d3a85c377|Rheinisch-Westfälische Technische Hochschule Aachen (RWTH Aachen University)|1000|1044|YNN|rwth-aachen.de
de|Ludwig Maximilian University of Munich|r|d7e110b3-be15-ee11-9cbe-6045bd55e414|LMU Munich (Ludwig-Maximilians-Universität)|1000|361|Y--|lmu.de
de|Heidelberg University|r|4f002978-f0a1-ed11-aad1-000d3a85c377|University of Heidelberg (Universität Heidelberg)|1000|656|YN-|uni-heidelberg.de
de|University of Freiburg - University College Freiburg|e|e9c4206f-f3a1-ed11-aad1-000d3a85c377|Albert-Ludwigs Universität Freiburg (University of Freiburg)|1000|328|YNN|uni-freiburg.de
de|Constructor University|e|34002978-f0a1-ed11-aad1-000d3a85c377|Constructor University|1000|403|Y--|constructor.university
de|University of Mannheim|e|2b143767-f1a1-ed11-aad1-000d3a85c377|Universitat Mannheim (University of Mannheim)|1000|232|Y--|uni-mannheim.de
de|Free University of Berlin|e|b24b88c3-9abe-ed11-83fe-6045bd55e414|Freie Universität Berlin (Free University of Berlin)|1000||Y--|fu-berlin.de
de|Bard College Berlin|e|e6dac6b8-f2a1-ed11-aad1-000d3a85c377|Bard College Berlin|1100|128|YYY|berlin.bard.edu
de|Frankfurt School of Finance & Management|e|d3532a0a-f2a1-ed11-aad1-000d3a85c377|Frankfurt School of Finance & Management|1000|293|YNN|frankfurt-school.de
de|Leuphana University Luneburg|r|0bf641f2-f1a1-ed11-aad1-000d3a85c377|Leuphana Universität Lüneburg (Leuphana University of Lüneburg)|1000|123|Y--|zentralgebaeude.leuphana.de
ee|University of Tartu|e|01d05849-f1a1-ed11-aad1-000d3a85c377|Tartu Ülikool (University of Tartu)|1000|190|Y-Y|ut.ee
ee|Tallinn University of Technology|e|78522a0a-f2a1-ed11-aad1-000d3a85c377|Tallinn University of Technology (TalTech)|1000|106|YNY|taltech.ee
ee|Tallinn University|m|79522a0a-f2a1-ed11-aad1-000d3a85c377|Tallinna Ülikool (Tallinn University)|1000|70|Y-Y|tlu.ee
ee|Estonian Business School|e|21f22b5d-f3a1-ed11-aad1-000d3a85c377|Estonian Business School (EBS)|1000|13|YNY|ebs.ee
ee|Estonian Aviation Academy|e|14c77ce6-5a2e-ef11-840a-002248ee4694|Estonian Aviation Academy|1000|2|YNN|lennuakadeemia.ee
es|IE University|r|274f1d16-f2a1-ed11-aad1-000d3a85c377|IE Universidad (IE University) - All campuses|1000|4810|YNN|ie.edu
es|Universidad Carlos III de Madrid|e|a2121975-f3a1-ed11-aad1-000d3a85c377|Universidad Carlos III de Madrid|1000||Y--|uc3m.es
es|Universitat Pompeu Fabra|e|42163767-f1a1-ed11-aad1-000d3a85c377|Universitat Pompeu Fabra (Pompeu Fabra University)|1000||Y--|upf.edu
es|Universidad de Navarra|e|e8dac6b8-f2a1-ed11-aad1-000d3a85c377|Universidad de Navarra|1100|522|YYN|en.unav.edu
es|ESADE|r|9cdac6b8-f2a1-ed11-aad1-000d3a85c377|Ramon Llull University : ESADE (Escola Superior d'Administració i Direcció d'Empreses)|1000|1157|YNY|esade.edu
es|Universitat Autònoma de Barcelona|e|375de494-f2a1-ed11-aad1-000d3a85c377|Universitat Autònoma de Barcelona (Autonomous University of Barcelona)|1000||Y--|uab.cat
es|Universidad de Deusto|e|8adbc6b8-f2a1-ed11-aad1-000d3a85c377|Universidad de Deusto, Bilbao (University of Deusto, Bilbao)|1000|81|Y--|deusto.es
es|Universidad Pontificia Comillas (ICADE)|r|52c5206f-f3a1-ed11-aad1-000d3a85c377|Universidad Pontificia de Comillas (Comillas Pontifical University)|1000||Y--|comillas.edu
es|Universidad Autónoma de Madrid|e|425dd3ae-9666-ee11-9ae7-002248ebf6a1|Universidad Autónoma de Madrid (Autonomous University of Madrid)|1000||Y--|uam.es
es|Universitat de Barcelona|e|9d4c1022-f2a1-ed11-aad1-000d3a85c377|Universitat de Barcelona (University of Barcelona)|1000||Y--|web.ub.edu
es|Universidad Complutense de Madrid|e|3af12b5d-f3a1-ed11-aad1-000d3a85c377|Universidad Complutense de Madrid|1000||Y--|ucm.es
